Timeslot,Period,,# of Div,C,J,M,B,S,Leader,LC
H13,Volleyball BS (Sr. Court),,2,,,,1,1,1,1
H13,Waterskiing M,,1,,,1,,,2,
H13,Woodworking JM,,2,,1,1,,,1,1
H13,Studio Art S,,1,,,,,1,1,
F11,12 & 16 Swim Team,,5,1,1,1,1,1,2,
F11,12 Soccer (Clark 1&2),,3,1,1,1,,,2,
F11,Archery J,,1,,1,,,,2,
F11,FF/S CJMBS,,5,1,1,1,1,1,2,1
F11,Kickball CJ (Cadet Field),,2,1,1,,,,1,1
F11,Ropes MBS,,3,,,1,1,1,1,1
F11,Riflery C,,1,1,,,,,2,
F11,Paddlesports BS,,2,,,,1,1,2,1
F11,Sailing CJM,,3,1,1,1,,,2,3
F11,Softball MBS (Messer Field),,3,,,1,1,1,2,
F11,Street Hockey CJ (Jr. Courts),,2,1,1,,,,1,1
F11,Tennis CJ (Besserer Courts),,2,1,1,,,,1,1
F11,Tower C,,1,1,,,,,2,
F11,Ultimate MBS (Clark 4),,3,,,1,1,1,1,1
F11,Volleyball MBS (Cadet Beach),,3,,,1,1,1,1,1
F11,Waterskiing M,,1,,,1,,,1,
F11,Woodworking BS,,2,,,,1,1,1,1
F11,Nature BS ,,2,,,,1,1,1,1
F12,12 Basketball (Pavilion),,3,1,1,1,,,2,
F12,16 Soccer (Clark 1&2),,3,,,1,1,1,2,
F12,Angleball MBS (Clark 3),,3,,,1,1,1,2,1
F12,Archery S,,1,,,,,1,2,
F12,Arts C,,1,1,,,,,1,
F12,Crafts CJM,,3,1,1,1,,,1,1
F12,Fish JMBS,,4,,1,1,1,1,2,1
F12,Football CJ (Messer),,2,1,1,,,,1,1
F12,Minnow JMBS,,4,,1,1,1,1,2,2
F12,Pickleball CJ (Besserer Courts),,2,1,1,,,,1,1
F12,Pickleball MBS (Sr. Courts),,3,,,1,1,1,1,1
F12,Riflery M,,1,,,1,,,2,
F12,Ropes CJ,,2,1,1,,,,1,1
F12,Sailing CJ,,2,1,1,,,,1,2
F12,Street Hockey BS (Sr. Courts),,2,,,,1,1,1,1
F12,Studio Art MBS,,3,,,1,1,1,1,
F12,Tower S,,1,,,,,1,1,
F12,Volleyball CJ (Cadet Beach),,2,1,1,,,,1,1
F12,Waterskiing B,,1,,,,1,,1,
F12,Baseball MB (Clark 4),,2,,,1,1,,1,
F13,16 Tennis (Senior Courts),,3,,,1,1,1,2,
F13,Arts JMB,,3,,1,1,1,,2,
F13,Baseball CJ (Clark 4),,2,1,1,,,,1,1
F13,Basketball CJ (Jr. Courts),,2,1,1,,,,1,1
F13,Basketball MBS (Pavilion),,3,,,1,1,1,1,1
F13,Clark Field Special MBS (Clark 1&2),,3,,,1,1,1,2,2
F13,Crosstraining S,,1,,,,,1,1,
